Kiran_ID,row_id,DateOfIssue,Brand,token_count,Hand_Label,Is_Non_Ad,Reason,is_non_advertiser,is_multipage,too_short,any_flag,is_non_advertiser_ci,any_flag_revised,Outcome_any_flag,Outcome_any_flag_revised
1788,1787,2012-09-29,Taiwan,466,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1806,1805,2012-09-29,Louis Vuitton,24,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1812,1811,2012-09-29,MIFC,77,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1821,1820,2012-09-29,Digital highlights,371,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1824,1823,2012-09-29,Hublot,41,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1825,1824,2012-09-29,Schneider,386,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1836,1835,2012-09-22,Economist Store,246,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1841,1840,2012-09-22,Avigilon,67,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1886,1885,2012-09-01,Economist Conferences,99,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1903,1902,2012-08-18,Economist Conferences,464,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1961,1960,2012-07-07,Santander,388,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
