Brand_Key,Sector,Ads
centre,Other / unclassified,43
sabic,Other / unclassified,43
nortel,Other / unclassified,43
rzb,Other / unclassified,43
ic industries,"Energy, industry & materials",42
walpamur darwen london,Other / unclassified,42
nikko securities,Banking & finance,42
cater ryder,Other / unclassified,42
german pfandbrief,Other / unclassified,42
addo,Other / unclassified,42
white horse distillers,Other / unclassified,42
british oxygen,Other / unclassified,42
marchon,Other / unclassified,42
marks spencer,Other / unclassified,42
brush group,Other / unclassified,42
m samuel,Other / unclassified,42
stone webster,Other / unclassified,42
yawata iron steel,"Energy, industry & materials",42
consolidated zinc,Other / unclassified,42
ontario,Other / unclassified,42
nippon kokan,Other / unclassified,42
asahi optical,Other / unclassified,42
sun life of canada,Other / unclassified,42
ireland,Other / unclassified,42
epson,Other / unclassified,42
georgia department of industry trade,"Government, trade & development",41
london manchester assurance,Banking & finance,41
akzo,Other / unclassified,41
rediffusion,Other / unclassified,41
cape asbestos,Other / unclassified,41
nynex,Other / unclassified,41
dunn hargitt,Other / unclassified,41
lloyds scottish finance,Banking & finance,41
lehman brothers,Other / unclassified,41
bank hapoalim,Banking & finance,41
history today,Other / unclassified,41
williams williams,Other / unclassified,41
t rkiye is bankasi isbank,Other / unclassified,41
investec,Banking & finance,41
amsterdam marriott,Other / unclassified,40
gas council,"Energy, industry & materials",40
milan trade fair,"Government, trade & development",40
bnp paribas,Banking & finance,40
sedgwick,Other / unclassified,40
eurostar,Other / unclassified,40
international university of america iua,"Education, jobs & conferences",40
swiss tel,Other / unclassified,40
wholesale textile association,Other / unclassified,40
associated television atv,Other / unclassified,40
isbank,Other / unclassified,40
young research publishing,Media & publishing (incl. The Economist),40
trade indemnity,"Government, trade & development",39
manufacturers trust,Banking & finance,39
british french bank,Banking & finance,39
malaysia,Other / unclassified,39
number seven,Other / unclassified,39
moscow narodny bank,Banking & finance,39
cnt,Other / unclassified,39
bowater paper,"Energy, industry & materials",39
gestetner,Other / unclassified,39
raja fashions,Other / unclassified,39
association for investment management research aimr,Banking & finance,39
ottoman bank,Banking & finance,39
temperance,Other / unclassified,39
leading hotels of world,Air travel & hotels,39
nissho,Other / unclassified,39
bank of boston,Banking & finance,39
taipei world trade center,"Government, trade & development",38
bhf bank,Banking & finance,38
stockholms enskilda bank,Banking & finance,38
who owns whom,Other / unclassified,38
austin reed,Other / unclassified,38
istituto bancario italiano ibi,Other / unclassified,38
rwe,Other / unclassified,38
sulzer,Other / unclassified,38
lombard odier,Other / unclassified,38
bwia,Other / unclassified,38
norwich union insurance,Banking & finance,38
bm british midland,Banking & finance,38
b a a,Other / unclassified,38
dai ichi kangyo bank,Banking & finance,38
international,Other / unclassified,37
iese,Other / unclassified,37
novell,Other / unclassified,37
volunteer reserve forces,Other / unclassified,37
bovis,Other / unclassified,37
facit,Other / unclassified,37
cfa institute,"Education, jobs & conferences",37
julius b r,Other / unclassified,37
brown polson,Other / unclassified,37
